id_number,age
062519-004,16
062519-005,8
062519-006,8
062519-016,5
062519-019,18
062519-023,8
062519-037,17
062519-044,7
062519-057,12
062619-031,14
062619-065,13
062619-084,6
062619-100,8
062619-108,8
071619-028,10
071619-045,19
071619-094,6
071619-101,
071619-126,10
071619-131,9
071619-136,20
071619-174,17
071619-184,5
071619-190,14
071619-194,9
071619-201,8
071619-212,6
071619-229,8
071619-234,
071619-242,7
071719-015,6
071719-037,13
071719-038,15
071719-079,16
071719-085,8
071719-090,7
071719-094,7
071719-110,9
071719-126,5
072319-033,11
072319-046,6
072319-054,5
072319-057,14
072419-006,7
072419-011,6
072419-017,10
072419-032,5
072419-041,12
072419-042,8
072419-047,
072419-049,7
072419-053,5
072419-055,18
072419-070,
072419-074,9
072419-089,8
072419-099,9
082719-001,20
082719-020,
082719-035,7
082719-062,13
082719-065,
082719-067,
082719-069,
082719-078,6
082719-081,15
082719-089,10
082919-001,25
082919-005,12
082919-008,8
082919-009,9
082919-018,6
082919-022,6
082919-023,6
082919-025,10
082919-029,6
082919-037,7
082919-038,9
082919-039,8
082919-040,13
082919-044,10
082919-051,9
082919-054,14
082919-060,11
082919-062,8
082919-063,6
082919-070,6
082919-075,5
082919-081,
082919-3333,